Source1,Source2,Year,Mean,Co2_data_mean_global,CO2 % chg 
GISTEMP,IAC Switzerland,1991,0.43,355.3529349,0.36%
GISTEMP,IAC Switzerland,1990,0.44,354.0729301,0.33%
GISTEMP,IAC Switzerland,1989,0.29,352.8939214,0.46%
GISTEMP,IAC Switzerland,1988,0.41,351.2759329,0.72%
GISTEMP,IAC Switzerland,1987,0.33,348.7749474,0.54%
GISTEMP,IAC Switzerland,1986,0.19,346.9029481,0.42%
GISTEMP,IAC Switzerland,1985,0.12,345.4589538,0.42%
GISTEMP,IAC Switzerland,1984,0.15,344.0079495,0.51%
GISTEMP,IAC Switzerland,1983,0.3,342.2659473,0.48%
GISTEMP,IAC Switzerland,1982,0.13,340.6439474,0.17%
GISTEMP,IAC Switzerland,1981,0.33,340.0589478,0.40%
GISTEMP,IAC Switzerland,1980,0.27,338.7049479,0.62%
GISTEMP,IAC Switzerland,1979,0.17,336.6049484,0.48%
GISTEMP,IAC Switzerland,1978,0.07,335.0099494,0.50%
GISTEMP,IAC Switzerland,1977,0.18,333.3529501,0.55%
GISTEMP,IAC Switzerland,1976,-0.11,331.544951,0.22%
GISTEMP,IAC Switzerland,1975,-0.02,330.826952,0.02%
GISTEMP,IAC Switzerland,1974,-0.07,330.7559525,0.26%
GISTEMP,IAC Switzerland,1973,0.15,329.9089531,0.78%
GISTEMP,IAC Switzerland,1972,0.01,327.3489541,0.60%
GISTEMP,IAC Switzerland,1971,-0.09,325.399955,0.19%
GISTEMP,IAC Switzerland,1970,0.02,324.7829559,0.47%
GISTEMP,IAC Switzerland,1969,0.07,323.250957,0.27%
GISTEMP,IAC Switzerland,1968,-0.07,322.388958,0.28%
GISTEMP,IAC Switzerland,1967,-0.02,321.4799589,0.19%
GISTEMP,IAC Switzerland,1966,-0.05,320.8799597,0.33%
GISTEMP,IAC Switzerland,1965,-0.1,319.8159605,0.15%
GISTEMP,IAC Switzerland,1964,-0.2,319.3329614,0.21%
GISTEMP,IAC Switzerland,1963,0.06,318.6499622,0.19%
GISTEMP,IAC Switzerland,1962,0.03,318.0439631,0.23%
GISTEMP,IAC Switzerland,1961,0.05,317.2989638,0.21%
GISTEMP,IAC Switzerland,1960,-0.02,316.6249644,0.26%
GISTEMP,IAC Switzerland,1959,0.03,315.8069651,0.15%
GISTEMP,IAC Switzerland,1958,0.07,315.3449659,0.11%
GISTEMP,IAC Switzerland,1957,0.04,314.9919665,0.09%
GISTEMP,IAC Switzerland,1956,-0.2,314.6979672,0.09%
GISTEMP,IAC Switzerland,1955,-0.15,314.414968,0.10%
GISTEMP,IAC Switzerland,1954,-0.13,314.0949688,0.12%
GISTEMP,IAC Switzerland,1953,0.08,313.7299694,0.12%
GISTEMP,IAC Switzerland,1952,0.01,313.34197,0.10%
GISTEMP,IAC Switzerland,1951,-0.07,313.0139706,0.06%
GISTEMP,IAC Switzerland,1950,-0.18,312.8209713,0.06%
GISTEMP,IAC Switzerland,1949,-0.09,312.6319721,0.04%
GISTEMP,IAC Switzerland,1948,-0.09,312.5209725,0.01%
GISTEMP,IAC Switzerland,1947,-0.05,312.4859732,0.03%
GISTEMP,IAC Switzerland,1946,-0.04,312.389974,0.00%
GISTEMP,IAC Switzerland,1945,0.12,312.3849746,-0.01%
GISTEMP,IAC Switzerland,1944,0.25,312.4129748,0.01%
GISTEMP,IAC Switzerland,1943,0.13,312.3899752,0.07%
GISTEMP,IAC Switzerland,1942,0.09,312.1719757,0.12%
GISTEMP,IAC Switzerland,1941,0.12,311.8109763,0.15%
GISTEMP,IAC Switzerland,1940,0.08,311.3569769,0.16%
GISTEMP,IAC Switzerland,1939,-0.03,310.8509776,0.18%
GISTEMP,IAC Switzerland,1938,-0.03,310.2939782,0.17%
GISTEMP,IAC Switzerland,1937,-0.03,309.7639786,0.24%
GISTEMP,IAC Switzerland,1936,-0.15,309.0119793,0.25%
GISTEMP,IAC Switzerland,1935,-0.2,308.22698,0.14%
GISTEMP,IAC Switzerland,1934,-0.14,307.7849806,0.12%
GISTEMP,IAC Switzerland,1933,-0.29,307.4019813,0.10%
GISTEMP,IAC Switzerland,1932,-0.17,307.0929818,0.09%
GISTEMP,IAC Switzerland,1931,-0.09,306.8219821,0.07%
GISTEMP,IAC Switzerland,1930,-0.15,306.6199824,0.04%
GISTEMP,IAC Switzerland,1929,-0.36,306.4949827,0.05%
GISTEMP,IAC Switzerland,1928,-0.21,306.3289833,0.05%
GISTEMP,IAC Switzerland,1927,-0.21,306.1769839,0.07%
GISTEMP,IAC Switzerland,1926,-0.1,305.9539845,0.05%
GISTEMP,IAC Switzerland,1925,-0.21,305.812985,0.06%
GISTEMP,IAC Switzerland,1924,-0.28,305.6299855,0.12%
GISTEMP,IAC Switzerland,1923,-0.24,305.2709861,0.11%
GISTEMP,IAC Switzerland,1922,-0.28,304.9449868,0.11%
GISTEMP,IAC Switzerland,1921,-0.21,304.5999873,0.12%
GISTEMP,IAC Switzerland,1920,-0.27,304.2459877,0.14%
GISTEMP,IAC Switzerland,1919,-0.22,303.8139883,0.12%
GISTEMP,IAC Switzerland,1918,-0.26,303.4489886,0.14%
GISTEMP,IAC Switzerland,1917,-0.4,303.0109891,0.17%
GISTEMP,IAC Switzerland,1916,-0.34,302.4849897,0.18%
GISTEMP,IAC Switzerland,1915,-0.11,301.9369903,0.17%
GISTEMP,IAC Switzerland,1914,-0.16,301.4189908,0.17%
GISTEMP,IAC Switzerland,1913,-0.34,300.9099911,0.19%
GISTEMP,IAC Switzerland,1912,-0.35,300.3529917,0.17%
GISTEMP,IAC Switzerland,1911,-0.44,299.8289923,0.15%
GISTEMP,IAC Switzerland,1910,-0.42,299.3769929,0.15%
GISTEMP,IAC Switzerland,1909,-0.47,298.9359935,0.14%
GISTEMP,IAC Switzerland,1908,-0.43,298.517994,0.14%
GISTEMP,IAC Switzerland,1907,-0.4,298.0979945,0.15%
GISTEMP,IAC Switzerland,1906,-0.23,297.6619951,0.13%
GISTEMP,IAC Switzerland,1905,-0.28,297.2889957,0.11%
GISTEMP,IAC Switzerland,1904,-0.44,296.9539963,0.10%
GISTEMP,IAC Switzerland,1903,-0.35,296.6539968,0.11%
GISTEMP,IAC Switzerland,1902,-0.27,296.3249974,0.11%
GISTEMP,IAC Switzerland,1901,-0.15,296.006998,0.11%
GISTEMP,IAC Switzerland,1900,-0.09,295.6749984,0.13%
GISTEMP,IAC Switzerland,1899,-0.16,295.2999986,0.12%
GISTEMP,IAC Switzerland,1898,-0.28,294.9539987,0.10%
GISTEMP,IAC Switzerland,1897,-0.11,294.6459988,0.10%
GISTEMP,IAC Switzerland,1896,-0.15,294.3649988,0.10%
GISTEMP,IAC Switzerland,1895,-0.21,294.0789989,0.10%
GISTEMP,IAC Switzerland,1894,-0.31,293.7909989,0.11%
GISTEMP,IAC Switzerland,1893,-0.3,293.4769989,0.11%
GISTEMP,IAC Switzerland,1892,-0.27,293.1669989,0.12%
GISTEMP,IAC Switzerland,1891,-0.24,292.815999,0.12%
GISTEMP,IAC Switzerland,1890,-0.37,292.457999,0.12%
GISTEMP,IAC Switzerland,1889,-0.12,292.1129991,0.12%
GISTEMP,IAC Switzerland,1888,-0.2,291.7629991,0.12%
GISTEMP,IAC Switzerland,1887,-0.33,291.4139991,0.11%
GISTEMP,IAC Switzerland,1886,-0.31,291.0999992,0.10%
GISTEMP,IAC Switzerland,1885,-0.32,290.7969992,0.10%
GISTEMP,IAC Switzerland,1884,-0.28,290.5119992,0.09%
GISTEMP,IAC Switzerland,1883,-0.21,290.2629992,0.08%
GISTEMP,IAC Switzerland,1882,-0.1,290.0189993,0.10%
GISTEMP,IAC Switzerland,1881,-0.12,289.7369993,0.09%
GISTEMP,IAC Switzerland,1880,-0.2,289.4699993,
