Source1,Source2,Date,Mean,YearMonth,PCP,TAVG,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-03,1.3,201603,2.92,47.5,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-02,1.35,201602,1.93,39.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-01,1.17,201601,2.04,32.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-12,1.11,201512,4.06,38.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-11,1.04,201511,3.35,44.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-10,1.06,201510,2.9,57.24,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-09,0.81,201509,2.12,68.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-08,0.78,201508,2.41,72.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-07,0.71,201507,3.23,73.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-06,0.78,201506,3.55,71.37,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-05,0.78,201505,4.44,60.84,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-04,0.74,201504,2.83,53.24,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-03,0.9,201503,2.13,45.39,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-02,0.86,201502,1.74,32.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2015-01,0.81,201501,1.83,33.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-12,0.79,201412,2.58,36.81,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-11,0.67,201411,2.13,39.25,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-10,0.85,201410,2.42,56.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-09,0.9,201409,2.64,66.2,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-08,0.82,201408,3.13,72.25,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-07,0.57,201407,2.6,73.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-06,0.66,201406,3.67,69.58,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-05,0.87,201405,2.81,61.27,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-04,0.78,201404,2.88,51.69,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-03,0.77,201403,2.37,40.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-02,0.51,201402,2.25,32.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2014-01,0.73,201401,1.37,30.56,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-12,0.67,201312,2.21,31.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-11,0.81,201311,2.04,41.61,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-10,0.69,201310,2.23,53.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-09,0.78,201309,2.98,66.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-08,0.66,201308,2.56,72.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-07,0.59,201307,3.34,74.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-06,0.65,201306,3.34,70.39,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-05,0.61,201305,3.35,60.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-04,0.52,201304,2.9,49.68,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-03,0.66,201303,1.72,40.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-02,0.55,201302,2.02,34.77,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2013-01,0.68,201301,2.37,32.25,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-12,0.53,201212,2.88,35.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-11,0.75,201211,1.32,44.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-10,0.78,201210,2.23,53.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-09,0.76,201209,2.34,66.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-08,0.63,201208,2.47,73.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-07,0.57,201207,2.51,76.77,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-06,0.62,201206,2.24,70.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-05,0.76,201205,2.5,63.45,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-04,0.69,201204,2.23,54.68,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-03,0.58,201203,2.87,50.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-02,0.49,201202,1.85,37.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2012-01,0.46,201201,2.09,36.12,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-12,0.54,201112,2.26,35.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-11,0.56,201111,2.47,43.75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-10,0.66,201110,2.14,55.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-09,0.56,201109,2.48,66.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-08,0.73,201108,2.34,75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-07,0.73,201107,2.44,76.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-06,0.59,201106,2.58,69.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-05,0.53,201105,3.43,59.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-04,0.65,201104,3.42,51.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-03,0.64,201103,2.91,43.07,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-02,0.53,201102,1.98,33.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2011-01,0.51,201101,1.65,29.71,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-12,0.49,201012,2.45,32.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-11,0.79,201011,2.22,42.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-10,0.71,201010,1.97,56.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-09,0.61,201009,2.78,66.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-08,0.65,201008,2.51,74.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-07,0.62,201007,3.32,74.71,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-06,0.64,201006,3.49,70.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-05,0.75,201005,3.32,59.88,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-04,0.87,201004,2.38,53.24,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-03,0.92,201003,2.3,43.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-02,0.78,201002,2.01,31.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2010-01,0.73,201001,2.62,30.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-12,0.65,200912,3.08,29.64,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-11,0.77,200911,1.63,45.84,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-10,0.64,200910,4.29,50.5,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-09,0.7,200909,2.54,66.38,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-08,0.66,200908,2.69,71.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-07,0.72,200907,3.07,72.63,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-06,0.65,200906,3.01,68.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-05,0.65,200905,3.31,61.65,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-04,0.61,200904,2.83,50.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-03,0.53,200903,2.7,42.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-02,0.53,200902,1.55,36.77,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2009-01,0.62,200901,1.6,31.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-12,0.54,200812,2.84,31.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-11,0.66,200811,1.95,43.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-10,0.67,200810,2.18,53.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-09,0.65,200809,2.68,65.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-08,0.44,200808,3.05,72.28,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-07,0.6,200807,2.8,74.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-06,0.48,200806,3,69.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-05,0.51,200805,3,59.36,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-04,0.53,200804,2.54,50.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-03,0.73,200803,2.52,41.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-02,0.36,200802,2.47,34.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2008-01,0.24,200801,2.21,30.27,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-12,0.5,200712,2.97,33.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-11,0.57,200711,1.4,44.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-10,0.6,200710,2.72,56.68,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-09,0.64,200709,2.17,66.43,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-08,0.6,200708,2.6,74.64,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-07,0.62,200707,2.88,74.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-06,0.58,200706,2.91,69.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-05,0.67,200705,2.75,62.33,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-04,0.76,200704,2.49,50.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-03,0.7,200703,2.31,47.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-02,0.7,200702,1.76,32.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2007-01,0.96,200701,2.22,31.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-12,0.77,200612,2.57,36.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-11,0.72,200611,2.46,44.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-10,0.69,200610,2.9,52.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-09,0.64,200609,2.8,63.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-08,0.72,200608,2.8,73.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-07,0.54,200607,2.46,76.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-06,0.64,200606,2.56,70.75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-05,0.47,200605,2.29,62.28,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-04,0.5,200604,2.54,55.26,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-03,0.63,200603,2.31,42.62,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-02,0.7,200602,1.52,34.83,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2006-01,0.57,200601,2.61,38.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-12,0.68,200512,2.29,32.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-11,0.76,200511,2.22,45.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-10,0.8,200510,2.37,55.38,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-09,0.78,200509,1.94,67.37,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-08,0.63,200508,2.99,73.2,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-07,0.66,200507,2.7,75.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-06,0.67,200506,3.14,69.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-05,0.65,200505,2.76,59.56,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-04,0.69,200504,2.57,52.27,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-03,0.69,200503,2.34,42.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-02,0.58,200502,2.06,37.94,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2005-01,0.72,200501,2.7,33.39,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-12,0.52,200412,2.18,35.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-11,0.72,200411,3.18,43.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-10,0.66,200410,3.04,55.36,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-09,0.53,200409,2.98,65.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-08,0.45,200408,3.04,70.16,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-07,0.26,200407,3.05,72.9,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-06,0.43,200406,3.51,68.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-05,0.42,200405,3.34,61.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-04,0.62,200404,2.5,52.68,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-03,0.64,200403,2.01,47.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-02,0.71,200402,2.45,33.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2004-01,0.59,200401,1.97,30.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-12,0.75,200312,2.38,35.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-11,0.55,200311,2.55,42.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-10,0.75,200310,1.83,56.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-09,0.66,200309,2.82,64.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-08,0.66,200308,2.56,74.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-07,0.55,200307,2.64,75.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-06,0.49,200306,3.45,68.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-05,0.62,200305,3.27,60.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-04,0.55,200304,2.63,51.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-03,0.57,200303,2.48,43.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-02,0.55,200302,2.57,32.79,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2003-01,0.73,200301,1.33,32.81,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-12,0.43,200212,3,35.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-11,0.59,200211,1.94,41.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-10,0.57,200210,3.01,51.84,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-09,0.65,200209,2.72,66.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-08,0.55,200208,2.4,72.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-07,0.62,200207,2.6,75.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-06,0.54,200206,2.56,70.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-05,0.65,200205,2.64,59.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-04,0.58,200204,2.26,53.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-03,0.91,200203,2.59,39.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-02,0.76,200202,1.32,36.39,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2002-01,0.75,200201,2.01,34.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-12,0.55,200112,2.36,36.12,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-11,0.7,200111,2.39,47.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-10,0.52,200110,2.06,54.37,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-09,0.56,200109,2.45,65.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-08,0.49,200108,2.41,74.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-07,0.61,200107,2.72,74.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-06,0.55,200106,3.12,69.24,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-05,0.59,200105,2.78,62.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-04,0.52,200104,2.1,53.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-03,0.58,200103,2.57,41.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-02,0.46,200102,2.21,33.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2001-01,0.44,200101,1.85,31.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-12,0.3,200012,1.71,28.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-11,0.34,200011,2.73,38.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-10,0.3,200010,2.26,55.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-09,0.42,200009,2.18,65.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-08,0.43,200008,1.91,74.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-07,0.42,200007,2.3,73.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-06,0.44,200006,3.45,69.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-05,0.4,200005,2.66,63.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-04,0.59,200004,2.32,52.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-03,0.6,200003,2.44,46.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-02,0.58,200002,2.12,39.78,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2000-01,0.26,200001,2.14,33.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-12,0.46,199912,1.73,36.1,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-11,0.42,199911,1.44,48.11,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-10,0.43,199910,1.57,54.75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-09,0.43,199909,2.52,64.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-08,0.34,199908,2.3,72.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-07,0.41,199907,2.58,74.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-06,0.37,199906,3.31,68.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-05,0.33,199905,2.91,60.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-04,0.34,199904,2.87,51.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-03,0.34,199903,2.19,42.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-02,0.66,199902,1.92,39.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1999-01,0.48,199901,3.13,33.78,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-12,0.56,199812,2.08,35.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-11,0.5,199811,2.63,44.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-10,0.47,199810,2.97,55.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-09,0.45,199809,2.51,68.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-08,0.68,199808,2.42,74.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-07,0.71,199807,2.86,75.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-06,0.78,199806,3.32,68.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-05,0.71,199805,2.62,62.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-04,0.64,199804,2.57,51.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-03,0.63,199803,3.23,41.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-02,0.9,199802,3.32,38.71,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1998-01,0.61,199801,3.36,34.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-12,0.6,199712,2.31,34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-11,0.66,199711,2.29,40.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-10,0.64,199710,2.52,53.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-09,0.56,199709,2.54,66.42,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-08,0.43,199708,2.68,71.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-07,0.35,199707,2.71,73.18,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-06,0.55,199706,3.4,68.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-05,0.39,199705,2.78,59.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-04,0.38,199704,2.99,47.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-03,0.52,199703,2.44,44.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-02,0.37,199702,2.39,36.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1997-01,0.33,199701,2.81,29.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-12,0.41,199612,3.29,33.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-11,0.42,199611,3,39.63,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-10,0.2,199610,2.49,53.65,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-09,0.27,199609,3.44,63.46,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-08,0.49,199608,2.66,72.43,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-07,0.37,199607,3.12,73.63,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-06,0.27,199606,2.87,69.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-05,0.3,199605,3.32,60.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-04,0.38,199604,2.56,50.65,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-03,0.34,199603,2.24,39.02,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-02,0.5,199602,1.89,35.69,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1996-01,0.27,199601,2.82,29.7,
